303.62973,3393.5,5494.75
306.45386,3357.5,5520.75
309.27584,3499.5,5877.25
312.09566,3536.5,5920.375
314.91333,3584,5920.875
317.72886,3610.5,6001.125
320.54224,3690,6052.125
323.35347,3674.5,6010.375
326.16256,3656,6102.875
328.96952,3648,6098.75
331.77434,3788.5,6337.125
334.57703,3804.5,6395.625
337.37759,3777,6277
340.17602,3761,6222.375
342.97232,3681,6180.25
345.76651,3693.5,6193
348.55857,3685.5,6194.75
351.34852,3676.5,6176.375
354.13635,3719,6166
356.92207,3736,6184.75
359.70568,3708,6175
362.48718,3714.5,6193.375
365.26658,3703.5,6217.625
368.04388,3701.5,6195.375
370.81908,3711.5,6151.125
373.59218,3755,6194.5
376.36319,3773.5,6180.75
379.1321,3709.5,6116.625
381.89893,3785.5,6335.125
384.66367,3754.5,6334.125
387.42633,3602,6148.375
390.1869,3622.5,6159.5
392.9454,3705.5,6140.5
395.70182,3748.5,6151.25
398.45617,3708.5,6177
401.20844,3686.5,6164.875
403.95865,3660.5,6173.625
406.70679,3651,6202.375
409.45286,3668,6209.5
412.19688,3679.5,6199.25
414.93884,3642,6156.25
417.67874,3651,6135.375
420.41659,3749,6214.25
423.15238,3715.5,6219.25
425.88613,3569.5,6191.875
428.61783,3572,6204.125
431.34749,3669.5,6309.875
434.0751,3671,6295
436.80068,3698.5,6209
439.52422,3763.5,6264.5
442.24573,3670.5,6195.375
444.96521,3606.5,6139.75
447.68265,3683,6210
450.39807,3684,6226.375
453.11147,3606,6204.25
455.82285,3709.5,6353.5
458.5322,3735.5,6312.75
461.23954,3602,6170
463.94487,3653.5,6199.625
466.64818,3658,6188.125
469.34949,3612.5,6249.75
472.04878,3648,6277.625
474.74608,3635,6246.5
477.44137,3640,6222.875
480.13466,3650,6274.875
482.82596,3643.5,6286.5
485.51526,3676,6264
488.20256,3677,6284.625
490.88788,3645,6323
493.57121,3641.5,6310.875
496.25256,3669,6299.625
498.93192,3646,6311
501.6093,3646,6337.125
504.28471,3625.5,6322.25
506.95814,3612.5,6377.5
509.62959,3704.5,6444.625
512.29908,3701,6371.25
514.96659,3639.5,6312.75
517.63215,3686,6273.625
520.29573,3701,6290.125
522.95736,3652.5,6293.25
525.61703,3657,6289
528.27474,3677.5,6299.125
530.9305,3660.5,6291.25
533.5843,3586,6252.125
536.23616,3598.5,6252.75
538.88607,3673,6264
541.53403,3659,6259.5
544.18006,3583,6272.625
546.82414,3603,6300.125
549.46628,3620,6234.25
552.10649,3639.5,6218.875
554.74477,3606,6137.75
557.38112,3587,6094
560.01553,3568.5,6096.125
562.64803,3553.5,6128.5
565.27859,3567,6136.375
567.90724,3548,6109.875
570.53397,3575,6138.875
573.15878,3607,6143.75
575.78168,3619.5,6140
578.40266,3580.5,6123
581.02174,3575.5,6145.625
583.63891,3611,6195.25
586.25417,3625.5,6221.875
588.86753,3617,6224.25
591.47899,3520.5,6223.875
594.08855,3501.5,6187.625
596.69622,3506.5,6210.375
599.30199,3556,6255.75
601.90587,3602,6240.875
604.50787,3597.5,6244.75
607.10797,3872.5,6592
609.70619,3859.5,6583.375
612.30253,3589,6254.5
614.89699,3574,6281.75
617.48957,3564.5,6326
620.08028,3586,6308.625
622.66911,3646,6411.375
625.25607,3621.5,6414.375
627.84116,3578.5,6336.375
630.42439,3592,6355.5
633.00575,3590,6371
635.58525,3569,6350.25
638.16289,3572.5,6428.125
640.73867,3611,6458.375
643.3126,3663.5,6429.5
645.88468,3640.5,6445.5
648.4549,3580.5,6483.125
651.02328,3576.5,6483.625
653.58981,3601,6509.625
656.15449,3626.5,6544.5
658.71733,3615.5,6581.25
661.27834,3639,6590.125
663.8375,3653,6640.25
666.39484,3616.5,6618.75
668.95033,3619.5,6569.875
671.504,3628,6629.25
674.05584,3636,6704.125
676.60585,3637.5,6628.125
679.15404,3637.5,6640.125
681.70041,3694.5,6753.75
684.24495,3730,6762.875
686.78768,3689,6705.125
689.3286,3661,6717.625
691.8677,3664.5,6753.875
694.40499,3764,6758
696.94047,3726.5,6731.125
699.47414,3531.5,6689.125
702.00601,3524,6660.25
704.53607,3584.5,6670.5
707.06434,3612.5,6697
709.59081,3745,6710.75
712.11548,3826.5,6810.5
714.63836,3709.5,6819.75
717.15945,3648,6752.5
719.67875,3613.5,6720.125
722.19626,3597,6692.75
724.71198,3621.5,6685.625
727.22592,3617,6683
729.73809,3660,6691.5
732.24847,3689,6740.25
734.75707,3605,6722.375
737.26391,3551.5,6676
739.76897,3591,6677.625
742.27225,3608,6684.625
744.77378,3590,6662.125
747.27353,3600.5,6638.625
749.77152,3606.5,6642.25
752.26775,3635,6681.125
754.76222,3591.5,6670
757.25494,3578.5,6673.375
759.74589,3620.5,6660.875
762.2351,3984,7145.875
764.72255,3920.5,7155.875
767.20825,3518.5,6644.625
769.69221,3600,6681.625
772.17442,3619.5,6681.5
774.65489,3526,6662.5
777.13362,3534,6713.625
779.61061,3560,6685.5
782.08586,3572.5,6660.875
784.55938,3578.5,6682.75
787.03117,3611,6691
789.50123,3596,6693.625
791.96955,3565,6714.375
794.43616,3535.5,6736.625
796.90103,3528,6726.75
799.36419,3529.5,6724.875
801.82563,3536,6728.625
804.28534,3548,6743.125
806.74335,3565,6783.625
809.19964,3579.5,6825.5
811.65421,3571.5,6796.75
814.10708,3611.5,6851
816.55824,3745,7050.875
819.00769,3724,7006.875
821.45544,3555.5,6800.25
